6,Comunicação Visual
6,Fundamentos do Serviço Social
6,Serviço Social Aplicado
6,Programação Visual
6,Desenho de Produto
7,História da Filosofia
7,Metafísica
7,Lógica
7,Ética
7,Epistemologia
7,Filosofia Brasileira
7,Estética e Filosofia da Arte
7,Fundamentos da Sociologia
7,Sociologia do Conhecimento
7,Sociologia do Desenvolvimento
7,Sociologia Urbana
7,Sociologia Rural
7,Sociologia da Saúde
7,Outras Sociologias Específicas
7,Teoria Antropológica
7,Etnologia Indígena
7,Antropologia Urbana
7,Antropologia Rural
7,Antropologia das Populações Afro-Brasileiras
7,Teoria e Método em Arqueologia
7,Arqueologia Pré-Histórica
7,Arqueologia Histórica
7,Teoria e Filosofia da História
7,História Antiga e Medieval
7,História Moderna e Contemporânea
7,História da América
7,História do Brasil
7,História das Ciências
7,Geografia Humana
7,Geografia Regional
7,Fundamentos e Medidas da Psicologia
7,Psicologia Experimental
7,Psicologia Fisiológica
7,Psicologia Comparativa
7,Psicologia Social
7,Psicologia Cognitiva
7,Psicologia do Desenvolvimento Humano
7,Psicologia do Ensino e da Aprendizagem
7,Psicologia do Trabalho e Organizacional
7,Tratamento e Prevenção Psicológica
7,Fundamentos da Educação
7,Administração Educacional
7,Planejamento e Avaliação Educacional
7,Ensino-Aprendizagem
7,Currículo
7,Orientação e Aconselhamento
7,Tópicos Específicos de Educação
7,Teoria Política
7,Estado e Governo
7,Comportamento Político
7,Políticas Públicas
7,Política Internacional
7,História das Teologias e Religiões
7,Teologia Prática
7,Teologia Fundamental Sistemática
7,Ciências da Religião Aplicada
7,Ciências da Linguagem Religiosa
7,Ciências Empíricas da Religião
7,Epistemologia das Ciências da Religião
7,Tradições e Escrituras Sagradas
8,Teoria e Análise Linguística
8,Filosofia da Linguagem
8,Linguística Histórica
8,Sociolinguística e Dialetologia
8,Psicolinguística
8,Lingüística Aplicada
8,Língua Portuguesa
8,Línguas Estrangeiras Modernas
8,Línguas Clássicas
8,Línguas Indígenas
8,Teoria Literária
8,Literatura Brasileira
8,Outras Literaturas Vernáculas
8,Literaturas Estrangeiras Modernas
8,Literaturas Clássicas
8,Literatura Comparada
8,Fundamentos e Crítica das Artes
8,Artes Plásticas
8,Música
8,Dança
8,Teatro
8,Ópera
8,Fotografia
8,Cinema
8,Artes do Vídeo
8,Educação Artística
